EmployeeID,Name,HighestDegree,Division,DivisionAddress,DivisionPhone,PersonalAddress,Email,PhoneNumber,Department,DepartmentDescription,JobTitle,JobDescription,Salary,Birthdate,SocialSecurity
400484,Joseph Timothy Smith,MA,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"175 Stephen Junctions, Lake Bethburgh, CA 51603",joseph_smith_159@klb.com,575.804.6162x284,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 3,"PROVIDES ADMINISTRATIVE SUPPORT WITHIN THE WEST DIVISION, ASSISTING WITH SCHEDULING, DOCUMENTATION, AND COMMUNICATION TASKS.",38131.39,1987.08.20,436/69/9144
209199,Kimberly Robin Boone,AB,Central Division,"202 Main St, Columbus, OH 43085",(916)555-6789,"84707 Jennifer Throughway Apt. 503, Lake Daniel, OH 46180",kimberly_boone_112@klb.com,001-730-345-5874x0139,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 2,"Performs production and operational tasks within the Central Division, ensuring quality and efficiency in processes.",35004.68,1996.07.29,762-65-4931
200572,Tina Valerie Spencer,GED,South Division,"456 South Ave, Austin, TX 73301",(512)555-6789,"43912 Robert Throughway, Kelliburgh, TX 77832",TINA_SPENCER_141@KLB..COM,299.242.5652x986,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 4,"Performs production and operational tasks within the South Division, ensuring quality and efficiency in processes.",34806.32,1992.01.19,263/14/7998
212800,Bradley Brian Ross,HS,NORTH DIVISION,"123 North St, Springfield, IL 62701",(217)555-1234,"520 Conrad Island, Carlsonbury, IL 35986",bradley_ross_193@klb.com,001-712-814-8851x457,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 4,"Performs production and operational tasks within the North Division, ensuring quality and efficiency in processes.",33570.44,3/11/1972,354 54 0536
204417,Brian Mark Smith,MBA,East Division,"789 East Blvd, Albany, NY 12201",(518)555-1234,"568 Lopez Ford, Livingstonmouth, NY 53606",BRIAN_SMITH_113@KLB.COM,001-586-855-3578x066,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS LEAD LEVEL 1,"Ensures smooth daily operations, manages resource allocation, and resolves workflow challenges as Operations Lead Level 1.",92542.33,5/26/1970,507 27 6456
220150,Monica Lisa Finley,AB,North Division,"123 North St, Springfield, IL 62701",(217)555-1234,"21596 Margaret Burgs Suite 024, Jenniferland, IL 63685",monica_finley_129@klb.com,394-794-5283,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 2,"Performs production and operational tasks within the North Division, ensuring quality and efficiency in processes.",29661.4,9/5/1984,246 65 9741
389490,Robin Diane Patel,MS,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"228 Garcia Street Suite 517, Chadburgh, CA 23151",,564-335-5095x93534,Engineering,Develop and maintain product design specifications and manufacturing protocols.,Engineer Level 3,"Works on technical projects, ensures compliance with safety standards, and provides engineering solutions as Engineer Level 3.",88728.11,1993.10.14,235 25 8346
480576,Jason Donald Porter,HS,SOUTH DIVISION,"456 SOUTH AVE, AUSTIN, TX 73301",(512)555-6789,"5575 Vickie Extensions Suite 764, North Brianhaven, TX 59012",jason_porter_196@klb.com,386-482-4051x66545,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",SECRETARY LEVEL 6,,42931.9,1976.01.08,263/39/4261
236244,"Darren William Hernandez, MLA",HS,CENTRAL DIVISION,"202 MAIN ST, COLUMBUS, OH 43085",(916)555-6789,"055 Melissa Gateway, Leonmouth, OH 69926","darren_william_hernandez,_mla_186@klb.com",001-733-754-4977x439,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 1,"Performs production and operational tasks within the Central Division, ensuring quality and efficiency in processes.",27561.43,1/12/1983,630 52 9087
268001,Tricia Zoe Miller,GED,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"5512 Loretta Keys, West Sarah, CA 87256",tricia_miller_118@klb.com,+1-404-594-4011x550,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 1,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE WEST DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",30561.04,1/20/1973,342-01-5143
414668,Kevin Ryan Bernard,AB,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"45819 Lambert Parkways Suite 075, Kathyside, CA 00791",KEVIN_BERNARD_103@KLB.COM,(236)959-7268x395,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 1,"PROVIDES ADMINISTRATIVE SUPPORT WITHIN THE WEST DIVISION, ASSISTING WITH SCHEDULING, DOCUMENTATION, AND COMMUNICATION TASKS.",36811.17,1965.09.27,358-11-3112
244490,David Jordan Villegas,HS,North Division,"123 North St, Springfield, IL 62701",(217)555-1234,"107 Rebekah Brook, East Danielfurt, IL 07714",david_villegas_100@klb.com,534.743.1211x5686,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 10,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE NORTH DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",36824.52,1971.03.19,611 98 1290
109139,Hon Daniel Nicholas Parker,BS,South Division,"456 South Ave, Austin, TX 73301",(512)555-6789,"3460 NOAH JUNCTION, SMITHFURT, TX 96656",hon_daniel_nicholas_parker_193@klb.com,6046747049,HR,Manage all human resource need of the organization,HR Specialist 1,"MANAGES RECRUITMENT AND ONBOARDING, SUPPORTS EMPLOYEE RELATIONS, AND MAINTAINS COMPLIANCE WITH LABOR LAWS AS SPECIALIST 1.",39712.85,1981.06.28,182/11/5306
405551,April Deborah Cruz,MA,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"4446 WASHINGTON PATH, PORT KELLYMOUTH, CA 21479",april_cruz_197@klb.com,628-588-6465x08930,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 6,"Provides administrative support within the West Division, assisting with scheduling, documentation, and communication tasks.",51037.99,9/12/1969,488/72/4813
203361,Frank Brian Wise,AB,Central Division,"202 Main St, Columbus, OH 43085",(916)555-6789,"522 Melissa Island, Angelaview, OH 85228",FRANK_WISE_184@KLB.COM,(547)875-5446x5775,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 4,"Performs production and operational tasks within the Central Division, ensuring quality and efficiency in processes.",37814.08,9/15/1993,881/36/9143
144509,Martin Daniel Rogers,AB,North Division,"123 North St, Springfield, IL 62701",(217)555-1234,"47216 Yvonne Passage, Meganport, IL 30454",martin_rogers_112@klb..com,861-575-8007x517,HR,Manage all human resource need of the organization,HR Specialist 1,"Manages recruitment and onboarding, supports employee relations, and maintains compliance with labor laws as Specialist 1.",32420.25,2/28/1984,684-54-5208
206425,Daniel James Smith,HS,East Division,"789 EAST BLVD, ALBANY, NY 12201",(518)555-1234,"3786 Joseph Lodge Suite 329, West Suzannechester, NY 16644",DANIEL_SMITH_104@KLB.COM,6289191516,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 4,"Performs production and operational tasks within the East Division, ensuring quality and efficiency in processes.",31928.89,9/28/1998,020-18-5416
246336,Brittney Kathy Wilkerson,MBA,West Division,"101 WEST DR, SACRAMENTO, CA 94203",(916)555-5678,"750 Huff Walk Suite 059, Morganstad, CA 58656",brittney_wilkerson_165@klb.com,8162220365,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS LEAD LEVEL 3,"Ensures smooth daily operations, manages resource allocation, and resolves workflow challenges as Operations Lead Level 3.",84796.52,1/13/1993,864/14/0271
253904,John Thomas Arnold,AB,West Division,"101 WEST DR, SACRAMENTO, CA 94203",(916)555-5678,"28256 Martha Ranch Suite 058, Davidborough, CA 09004",john_arnold_180@klb.com,691-325-5362x453,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 3,"Performs production and operational tasks within the West Division, ensuring quality and efficiency in processes.",29243.32,7/4/1994,122/49/6321
230827,Calvin Wayne Phelps,AB,Central Division,"202 Main St, Columbus, OH 43085",(916)555-6789,"6358 Michelle Causeway, Gregorybury, OH 09912",calvin_phelps_183@klb.com,(280)200-3013,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 3,"Performs production and operational tasks within the Central Division, ensuring quality and efficiency in processes.",28107.9,2/26/1980,283/09/4995
370300,Brian Pedro Hodge,MS,South Division,"456 SOUTH AVE, AUSTIN, TX 73301",(512)555-6789,"971 Daniel View, Cynthialand, TX 78327",,,Engineering,Develop and maintain product design specifications and manufacturing protocols.,Engineer Level 1,"Works on technical projects, ensures compliance with safety standards, and provides engineering solutions as Engineer Level 1.",83043.81,4/13/1993,665-91-4512
284537,Emily Erin Ellis,MS,South Division,"456 South Ave, Austin, TX 73301",(512)555-6789,"7224 John Throughway Apt. 947, North Edwardshire, TX 69538",emily_ellis_194@klb.com,600.714.3897,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Lead Level 4,"Ensures smooth daily operations, manages resource allocation, and resolves workflow challenges as Operations Lead Level 4.",103704.87,1992.03.07,516-44-2422
245853,Stacey Karen Sutton,MA,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"087 Meagan Forest, Warrenmouth, CA 93042",STACEY_SUTTON_127@KLB.COM,671.326.8870,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 2,"Provides administrative support within the West Division, assisting with scheduling, documentation, and communication tasks.",42406.84,10/22/1986,806-41-7973
278114,Lee Brian Green,BA,West Division,"101 WEST DR, SACRAMENTO, CA 94203",(916)555-5678,"3110 Jessica Forges, Donaldsonshire, CA 78126",lee_green_167@klb.com,001-487-204-6058,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Lead Level 4,"Ensures smooth daily operations, manages resource allocation, and resolves workflow challenges as Operations Lead Level 4.",101758.96,3/22/1993,437/98/6991
201403,Brianna Deborah Davis,CTE,NORTH DIVISION,"123 North St, Springfield, IL 62701",(217)555-1234,"553 ANDREW PORT APT. 637, VELASQUEZTON, IL 44822",brianna_davis_199@klb.com,594.455.1609x11794,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 5,"Performs production and operational tasks within the North Division, ensuring quality and efficiency in processes.",36096.73,3/18/1982,163 91 9081
292991,Natalie Alexis Brown,BS,CENTRAL DIVISION,"202 Main St, Columbus, OH 43085",(916)555-6789,"4413 LINDSEY KEYS APT. 008, WEST STACEYBOROUGH, OH 35299",natalie_brown_159@klb.com,206.752.4177,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 1,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE CENTRAL DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",35299.69,1998.05.04,096-94-8309
268550,"Michael Jared Aguirre, BFA",HS,East Division,"789 East Blvd, Albany, NY 12201",(518)555-1234,"37040 Stephanie Knolls, West Teresachester, NY 73223","MICHAEL_JARED_AGUIRRE,_BFA_114@KLB.COM",(239)755-2805x95365,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 3,"Performs production and operational tasks within the East Division, ensuring quality and efficiency in processes.",31432.76,5/12/1996,420-52-3530
268422,Lindsey Caitlin Berry,HS,NORTH DIVISION,"123 North St, Springfield, IL 62701",(217)555-1234,"041 Munoz Ford, Clementsmouth, IL 01093",LINDSEY_BERRY_148@KLB.COM,963.629.5675x84931,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 4,"Performs production and operational tasks within the North Division, ensuring quality and efficiency in processes.",29453.1,12/20/1985,393 20 8162
250794,Teresa Brandi Stevens,AB,South Division,"456 South Ave, Austin, TX 73301",(512)555-6789,"9008 JENKINS FREEWAY APT. 778, WEST CAITLINFURT, TX 55873",teresa_stevens_174@klb.com,(516)796-1875x9494,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 2,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE SOUTH DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",32716.57,1983.07.09,797-32-1033
289137,Selena Ashley Hughes,CTE,EAST DIVISION,"789 EAST BLVD, ALBANY, NY 12201",(518)555-1234,"5474 Peters Roads Suite 852, South Ryan, NY 40374",selena_hughes_156@klb.com,652-893-1921,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 2,"Performs production and operational tasks within the East Division, ensuring quality and efficiency in processes.",32475.43,10/14/1997,043/31/1502
258503,MAJ AMY KENDRA HOLLOWAY,AB,East Division,"789 East Blvd, Albany, NY 12201",(518)555-1234,"34677 Teresa Mills Apt. 658, Ewingview, NY 08779",MAJ_AMY_KENDRA_HOLLOWAY_187@KLB.COM,+1-329-329-7681x198,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 3,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE EAST DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",37756.31,6/16/1986,653 78 0345
268995,Christopher Jeff Matthews,BS,East Division,"789 EAST BLVD, ALBANY, NY 12201",(518)555-1234,"086 Gregory Center, Curtisview, NY 68433",christopher_matthews_144@klb.com,(697)506-4106x44562,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 1,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE EAST DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",28933.95,1977.01.11,277-33-3257
375984,Victoria Erica Lawson,PhD,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"569 Justin Springs, New Brendanside, CA 43237",victoria_erica_lawson_196@klb.com,(918)502-5044,Engineering,Develop and maintain product design specifications and manufacturing protocols.,Engineer Level 2,"Works on technical projects, ensures compliance with safety standards, and provides engineering solutions as Engineer Level 2.",116951.61,10/30/1982,528/21/0207
280842,Aaron Dennis Moore,GED,Central Division,"202 MAIN ST, COLUMBUS, OH 43085",(916)555-6789,"2762 Allison Creek Apt. 889, North Johnfort, OH 45340",aaron_moore_183@klb.com,001-369-976-3840x00575,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 2,"Performs production and operational tasks within the Central Division, ensuring quality and efficiency in processes.",34817.69,10/14/2000,290/41/7082
267503,Nicole Meagan Medina,GED,South Division,"456 South Ave, Austin, TX 73301",(512)555-6789,"9864 PATTERSON TUNNEL APT. 087, BLACKBURY, TX 19437",nicole_medina_124@klb.com,001-309-263-6074x3876,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 2,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE SOUTH DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",27906.78,7/26/1981,383-66-0691
446939,Joseph Corey Simon,BA,Central Division,"202 Main St, Columbus, OH 43085",(916)555-6789,"39347 Vazquez Shores Apt. 678, Cabreramouth, OH 07342",joseph_simon_128@klb.com,438.354.6052x173,Administrative,"Manage, coordinate, and facilitate internal communications, meetings, and standard operating procedures.",Secretary Level 2,"Provides administrative support within the Central Division, assisting with scheduling, documentation, and communication tasks.",35938.29,1981.01.06,224/01/5444
296774,John Steven Davis,CTE,SOUTH DIVISION,"456 SOUTH AVE, AUSTIN, TX 73301",(512)555-6789,"512 Victoria Shoal Apt. 335, New Dale, TX 81374",john_davis_118@klb.com,587-221-2185x9191,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 5,"PERFORMS PRODUCTION AND OPERATIONAL TASKS WITHIN THE SOUTH DIVISION, ENSURING QUALITY AND EFFICIENCY IN PROCESSES.",39400.15,8/28/1983,092/95/3664
261916,Lauren Patty Arnold,AB,West Division,"101 West Dr, Sacramento, CA 94203",(916)555-5678,"8151 MACKENZIE CORNER, ZOEMOUTH, CA 93347",LAUREN_ARNOLD_121@KLB.COM,001-593-679-2479x74054,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 7,"Performs production and operational tasks within the West Division, ensuring quality and efficiency in processes.",36526.44,1977.07.10,551/78/3425
277887,Timothy Michael Lopez,AB,SOUTH DIVISION,"456 South Ave, Austin, TX 73301",(512)555-6789,"17976 Barker Ford Suite 661, East Kennethbury, TX 36965",TIMOTHY_LOPEZ_116@KLB.COM,(361)935-8037x97533,Operations,"Manage all purchasing, manufacturing, and logistics of the organization",Operations Associate Level 4,"Performs production and operational tasks within the South Division, ensuring quality and efficiency in processes.",31678.38,3/9/1970,218 72 6792
237683,Tammie Tracey Anthony,GED,South Division,"456 South Ave, Austin, TX 73301",(512)555-6789,"0647 Crystal Plain, Port Daniel, TX 61010",tammie_anthony_114@klb.com,370.527.3160,OPERATIONS,"Manage all purchasing, manufacturing, and logistics of the organization",OPERATIONS ASSOCIATE LEVEL 7,"Performs production and operational tasks within the South Division, ensuring quality and efficiency in processes.",41983.43,9/4/1994,184 48 2655
